"species","location","lsu","rpb2","tef1a"
"A_aff_brunneofuliginea","Austria","MH486361.1","MH485858.1","MH508664.1"
"A_altipes","Shangri-La_Yunnan_China","JN941158.1","JQ031112.1","KR824810.1"
"A_aspericeps","Mount_Wuyi_Fujian_China","MH486369.1","MH485864.1","MH508671.1"
"A_avellaneosquamosa","Incheon's_Central_park_South_Korea","KJ466482.1","KJ466647.1","KJ481981.1"
"A_battarrae","Changdu_Tibet_China","MH486383.1","MH485875.1","MH508684.1"
"A_brunneofuliginea","Changbai_mountain_Jilin_China ","MH486394.1","MH485886.1","MH508694.1"
"A_caojizong","Yulong_Yunnan_China","MH486425.1","MH485905.1","MH508712.1"
"A_chiui","Yanyuan_Sichuan_China","MH486447.1","MH485930.1","MH508727.1"
"A_cinereopannosa","USA","MH486450.1","MH485932.1","MH508728.1"
"A_citrina","Germany","MH486457.1","MH485937.1","MH508733.1"
"A_citrinoannulata","Lianyungang_Jiangsu_China","MH486458.1","MH485938.1","MH508734.1"
"A_citrinoindusiata","Shangri-La_Yunnan_China","MH486469.1","MH485948.1","MH508745.1"
"A_eijii","Ninglang_Yunnan_China","MH486484.1","MH485963.1","MH508761.1"
"A_elata","Xishuangbanna_Yunnan_China","MH486486.1","MH485965.1","MH508763.1"
"A_farinosa","Baoshan_Yunnan_China","JN941154.1","JQ031110.1","MH508772.1"
"A_flavipes","Shangri-La_Yunnan_China","MH486507.1","MH485979.1","MH508783.1"
"A_fulva","France","MH486554.1","MH486021.1","MH508825.1"
"A_imazekii","Tomakomai_Hokkaido_Japan","MH486591.1","MH486052.1","MH508859.1"
"A_ocreata","CA_USA","MH486688.1","KJ466607.1","KJ481947.1"
"A_pantherina","Czech_Republic","KR824782.1","KR824789.1","KR824825.1"
"A_strobiliformis ","Germany","MH486895.1","MH486298.1","MH509117.1"
"A_suballiacea","PA_USA ","KJ466484.1","KJ466600.1","KJ481940.1"
"A_virosa","Juva_Finland","JX998058.1","KJ466664.1","JX998007.1"
"L_delicata","Austria","KT833807.1","KT833822.1","KT833835.1"
